iter	Passed	Remaining
0	6	483
1	10	397
2	15	381
3	20	362
4	25	361
5	30	346
6	35	340
7	39	333
8	47	346
9	52	342
10	57	332
11	61	325
12	66	315
13	70	307
14	75	302
15	80	298
16	85	291
17	91	289
18	96	283
19	101	279
20	106	272
21	110	267
22	116	263
23	121	258
24	125	251
25	130	246
26	135	240
27	141	238
28	147	234
29	153	229
30	157	223
31	162	218
32	167	213
33	172	208
34	177	202
35	181	196
36	187	192
37	193	188
38	199	184
39	204	178
40	208	173
41	213	167
42	219	163
43	223	157
44	228	152
45	234	147
46	239	142
47	244	137
48	250	132
49	254	127
50	259	121
51	264	116
52	269	111
53	273	106
54	279	101
55	285	96
56	289	91
57	295	86
58	299	81
59	304	76
60	309	71
61	313	65
62	319	60
63	324	55
64	329	50
65	334	45
66	339	40
67	345	35
68	349	30
69	354	25
70	359	20
71	363	15
72	368	10
73	375	5
74	380	0
