avgAnnCount,incidenceRate,studyPerCap,AvgHouseholdSize,PctNoHS18_24,PctHS18_24,PctUnemployed16_Over,PctBlack,PctAsian,PctOtherRace,BirthRate,TARGET_deathRate,binnedInc,Geography
1397.0,489.8,499.748,2.54,11.5,39.5,8.0,2.595,4.822,1.843,6.119,164.9,BIN_5,WEST
173.0,411.6,23.111,2.34,6.1,22.4,7.8,0.969,2.246,3.741,4.333,161.3,BIN_4,WEST
102.0,349.7,47.56,2.62,24.0,36.6,7.0,0.74,0.466,2.747,3.729,174.7,BIN_4,WEST
427.0,430.4,342.637,2.52,20.2,41.2,12.1,0.783,1.161,1.363,4.604,194.8,BIN_3,WEST
57.0,350.1,0.0,2.34,14.9,43.0,4.8,0.27,0.666,0.492,6.797,144.4,BIN_4,WEST
428.0,505.4,180.26,2.58,29.9,35.1,12.9,1.653,1.538,3.315,4.964,176.0,BIN_4,WEST
250.0,461.8,0.0,2.42,26.1,41.4,8.9,0.617,0.866,8.357,4.204,175.9,BIN_2,WEST
146.0,404.0,0.0,2.24,27.3,33.9,8.9,0.305,1.889,2.286,5.889,183.6,BIN_2,WEST
88.0,459.4,0.0,2.38,34.7,39.4,10.3,0.185,0.208,0.617,5.588,190.5,BIN_2,WEST
113.0,413.3,0.0,2.04,17.7,32.4,5.9,0.652,1.429,2.237,4.586,121.4,BIN_5,WEST
55.0,398.9,0.0,2.49,20.0,43.8,8.3,0.845,0.978,0.774,4.806,188.3,BIN_4,WEST
251.0,423.8,0.0,2.44,25.1,35.3,9.4,0.489,0.604,0.866,3.631,174.2,BIN_3,WEST
1390.0,495.9,207.764,2.52,14.8,31.7,8.5,2.84,5.836,1.226,5.18,169.9,BIN_5,WEST
32.0,463.2,0.0,2.31,37.2,20.8,10.6,0.124,1.14,0.0,0.535,153.8,BIN_4,WEST
305.0,442.5,464.053,2.5,13.7,29.2,6.4,1.649,1.617,5.636,4.139,162.8,BIN_4,WEST
1081.0,490.9,249.666,2.53,9.4,22.1,8.2,0.881,3.925,2.426,4.473,163.3,BIN_4,WEST
134.0,390.5,0.0,2.31,1.2,16.4,8.8,2.155,7.615,1.615,3.304,140.8,BIN_2,WEST
958.0,411.0,301.411,3.05,28.7,39.3,9.0,0.843,1.09,12.95,6.561,169.4,BIN_3,WEST
